Model,Class,Size,Repeat,Accuracy
NB,0,32,1,0.9637883008356546
NB,1,32,1,0.9848484848484849
NB,2,32,1,0.3787878787878788
NB,3,32,1,0.3674698795180723
NB,4,32,1,0.57
NB,5,32,1,0.15625
NB,6,32,1,0.7647058823529411
NB,7,32,1,0.8503401360544217
NB,8,32,1,0.25903614457831325
NB,9,32,1,0.5819209039548022
TAN,0,32,1,0.35376044568245124
TAN,1,32,1,0.9886363636363636
TAN,2,32,1,0.18686868686868688
TAN,3,32,1,0.3192771084337349
TAN,4,32,1,0.355
TAN,5,32,1,0.5
TAN,6,32,1,0.25882352941176473
TAN,7,32,1,0.7346938775510204
TAN,8,32,1,0.4397590361445783
TAN,9,32,1,0.615819209039548
Logistic,0,32,1,0.21727019498607242
Logistic,1,32,1,0.9659090909090909
Logistic,2,32,1,0.12121212121212122
Logistic,3,32,1,0.22289156626506024
Logistic,4,32,1,0.125
Logistic,5,32,1,0.05
Logistic,6,32,1,0.25882352941176473
Logistic,7,32,1,0.2653061224489796
Logistic,8,32,1,0.12650602409638553
Logistic,9,32,1,0.21468926553672316
Logistic TAN,0,32,1,0.1977715877437326
Logistic TAN,1,32,1,0.9204545454545454
Logistic TAN,2,32,1,0.2222222222222222
Logistic TAN,3,32,1,0.2891566265060241
Logistic TAN,4,32,1,0.165
Logistic TAN,5,32,1,0.04375
Logistic TAN,6,32,1,0.21176470588235294
Logistic TAN,7,32,1,0.2789115646258503
Logistic TAN,8,32,1,0.04216867469879518
Logistic TAN,9,32,1,0.1016949152542373
NB,0,32,2,0.7214484679665738
NB,1,32,2,0.9772727272727273
NB,2,32,2,0.696969696969697
NB,3,32,2,0.7289156626506024
NB,4,32,2,0.585
NB,5,32,2,0.48125
NB,6,32,2,0.27058823529411763
NB,7,32,2,0.6870748299319728
NB,8,32,2,0.3493975903614458
NB,9,32,2,0.6271186440677966
TAN,0,32,2,0.5403899721448467
TAN,1,32,2,0.9886363636363636
TAN,2,32,2,0.2828282828282828
TAN,3,32,2,0.536144578313253
TAN,4,32,2,0.305
TAN,5,32,2,0.575
TAN,6,32,2,0.17647058823529413
TAN,7,32,2,0.6394557823129252
TAN,8,32,2,0.5481927710843374
TAN,9,32,2,0.5141242937853108
Logistic,0,32,2,0.20055710306406685
Logistic,1,32,2,0.928030303030303
Logistic,2,32,2,0.20202020202020202
Logistic,3,32,2,0.21084337349397592
Logistic,4,32,2,0.175
Logistic,5,32,2,0.2875
Logistic,6,32,2,0.13529411764705881
Logistic,7,32,2,0.25170068027210885
Logistic,8,32,2,0.13253012048192772
Logistic,9,32,2,0.1977401129943503
Logistic TAN,0,32,2,0.5821727019498607
Logistic TAN,1,32,2,0.9659090909090909
Logistic TAN,2,32,2,0.22727272727272727
Logistic TAN,3,32,2,0.18072289156626506
Logistic TAN,4,32,2,0.215
Logistic TAN,5,32,2,0.30625
Logistic TAN,6,32,2,0.052941176470588235
Logistic TAN,7,32,2,0.23129251700680273
Logistic TAN,8,32,2,0.1566265060240964
Logistic TAN,9,32,2,0.2542372881355932
NB,0,32,3,0.9498607242339833
NB,1,32,3,0.9696969696969697
NB,2,32,3,0.4898989898989899
NB,3,32,3,0.5120481927710844
NB,4,32,3,0.55
NB,5,32,3,0.1375
NB,6,32,3,0.2647058823529412
NB,7,32,3,0.6326530612244898
NB,8,32,3,0.4457831325301205
NB,9,32,3,0.8192090395480226
TAN,0,32,3,0.5292479108635098
TAN,1,32,3,0.9772727272727273
TAN,2,32,3,0.16666666666666666
TAN,3,32,3,0.6927710843373494
TAN,4,32,3,0.405
TAN,5,32,3,0.43125
TAN,6,32,3,0.3411764705882353
TAN,7,32,3,0.6870748299319728
TAN,8,32,3,0.5542168674698795
TAN,9,32,3,0.4293785310734463
Logistic,0,32,3,0.2479108635097493
Logistic,1,32,3,0.9507575757575758
Logistic,2,32,3,0.19696969696969696
Logistic,3,32,3,0.20481927710843373
Logistic,4,32,3,0.39
Logistic,5,32,3,0.075
Logistic,6,32,3,0.4176470588235294
Logistic,7,32,3,0.25170068027210885
Logistic,8,32,3,0.1746987951807229
Logistic,9,32,3,0.2033898305084746
Logistic TAN,0,32,3,0.18662952646239556
Logistic TAN,1,32,3,0.9204545454545454
Logistic TAN,2,32,3,0.18686868686868688
Logistic TAN,3,32,3,0.12650602409638553
Logistic TAN,4,32,3,0.2
Logistic TAN,5,32,3,0.10625
Logistic TAN,6,32,3,0.4
Logistic TAN,7,32,3,0.20408163265306123
Logistic TAN,8,32,3,0.16265060240963855
Logistic TAN,9,32,3,0.3107344632768362
NB,0,32,4,0.7576601671309192
NB,1,32,4,0.9659090909090909
NB,2,32,4,0.5050505050505051
NB,3,32,4,0.5963855421686747
NB,4,32,4,0.785
NB,5,32,4,0.36875
NB,6,32,4,0.8470588235294118
NB,7,32,4,0.32653061224489793
NB,8,32,4,0.39759036144578314
NB,9,32,4,0.7627118644067796
TAN,0,32,4,0.7047353760445683
TAN,1,32,4,0.9659090909090909
TAN,2,32,4,0.20202020202020202
TAN,3,32,4,0.5
TAN,4,32,4,0.14
TAN,5,32,4,0.25
TAN,6,32,4,0.3352941176470588
TAN,7,32,4,0.6666666666666666
TAN,8,32,4,0.608433734939759
TAN,9,32,4,0.6045197740112994
Logistic,0,32,4,0.5403899721448467
Logistic,1,32,4,0.8598484848484849
Logistic,2,32,4,0.14646464646464646
Logistic,3,32,4,0.1144578313253012
Logistic,4,32,4,0.11
Logistic,5,32,4,0.1
Logistic,6,32,4,0.12941176470588237
Logistic,7,32,4,0.2653061224489796
Logistic,8,32,4,0.13253012048192772
Logistic,9,32,4,0.14124293785310735
Logistic TAN,0,32,4,0.5571030640668524
Logistic TAN,1,32,4,0.8939393939393939
Logistic TAN,2,32,4,0.13131313131313133
Logistic TAN,3,32,4,0.12048192771084337
Logistic TAN,4,32,4,0.145
Logistic TAN,5,32,4,0.1125
Logistic TAN,6,32,4,0.1588235294117647
Logistic TAN,7,32,4,0.1564625850340136
Logistic TAN,8,32,4,0.1686746987951807
Logistic TAN,9,32,4,0.21468926553672316
NB,0,32,5,0.7910863509749304
NB,1,32,5,0.9583333333333334
NB,2,32,5,0.4494949494949495
NB,3,32,5,0.5542168674698795
NB,4,32,5,0.72
NB,5,32,5,0.30625
NB,6,32,5,0.8529411764705882
NB,7,32,5,0.5306122448979592
NB,8,32,5,0.42168674698795183
NB,9,32,5,0.655367231638418
TAN,0,32,5,0.5292479108635098
TAN,1,32,5,0.9886363636363636
TAN,2,32,5,0.14646464646464646
TAN,3,32,5,0.30120481927710846
TAN,4,32,5,0.475
TAN,5,32,5,0.325
TAN,6,32,5,0.3176470588235294
TAN,7,32,5,0.14285714285714285
TAN,8,32,5,0.3313253012048193
TAN,9,32,5,0.6836158192090396
Logistic,0,32,5,0.4011142061281337
Logistic,1,32,5,0.9393939393939394
Logistic,2,32,5,0.21212121212121213
Logistic,3,32,5,0.1144578313253012
Logistic,4,32,5,0.3
Logistic,5,32,5,0.31875
Logistic,6,32,5,0.16470588235294117
Logistic,7,32,5,0.17006802721088435
Logistic,8,32,5,0.19879518072289157
Logistic,9,32,5,0.3050847457627119
Logistic TAN,0,32,5,0.34540389972144847
Logistic TAN,1,32,5,0.8560606060606061
Logistic TAN,2,32,5,0.2474747474747475
Logistic TAN,3,32,5,0.10843373493975904
Logistic TAN,4,32,5,0.18
Logistic TAN,5,32,5,0.19375
Logistic TAN,6,32,5,0.11176470588235295
Logistic TAN,7,32,5,0.20408163265306123
Logistic TAN,8,32,5,0.19879518072289157
Logistic TAN,9,32,5,0.2824858757062147
NB,0,32,6,0.8356545961002786
NB,1,32,6,0.9659090909090909
NB,2,32,6,0.7474747474747475
NB,3,32,6,0.42168674698795183
NB,4,32,6,0.52
NB,5,32,6,0.275
NB,6,32,6,0.6352941176470588
NB,7,32,6,0.32653061224489793
NB,8,32,6,0.42771084337349397
NB,9,32,6,0.5875706214689266
TAN,0,32,6,0.5598885793871866
TAN,1,32,6,0.9621212121212122
TAN,2,32,6,0.25252525252525254
TAN,3,32,6,0.3313253012048193
TAN,4,32,6,0.65
TAN,5,32,6,0.29375
TAN,6,32,6,0.7823529411764706
TAN,7,32,6,0.5714285714285714
TAN,8,32,6,0.22289156626506024
TAN,9,32,6,0.2768361581920904
Logistic,0,32,6,0.6183844011142061
Logistic,1,32,6,0.5871212121212122
Logistic,2,32,6,0.18181818181818182
Logistic,3,32,6,0.20481927710843373
Logistic,4,32,6,0.255
