model,true_label,predicted_label,log_prob,entropy,is_ood
nb,9,9,-127.7584419235491,3.8186751563520934e-5,FALSE
nb,6,2,-211.78209230672738,0.00217386563158014,FALSE
nb,3,3,-143.85926051849046,-1.0000000826903687e-10,FALSE
nb,6,2,-245.5522197418875,0.13097351455741585,FALSE
nb,6,6,-214.64370138567813,-3.5960085602789714e-11,FALSE
nb,0,0,-139.72281129829642,-1.000000082690371e-10,FALSE
nb,0,0,-131.32841467521848,-1.0000000826903591e-10,FALSE
nb,0,0,-134.4261400656264,-1.000000082690371e-10,FALSE
nb,6,6,-112.59256524810736,-1.0000000826903522e-10,FALSE
nb,9,9,-104.62552281929405,-9.659755511819484e-11,FALSE
nb,6,6,-106.59432765262646,-1.000000082690371e-10,FALSE
nb,2,2,-168.63404414142585,-1.000000082690371e-10,FALSE
nb,2,3,-155.44190534818983,2.251295557977304e-4,FALSE
nb,4,4,-183.01991864396837,-7.515140343296268e-11,FALSE
nb,0,0,-182.0390420613392,-1.000000082690371e-10,FALSE
nb,3,8,-145.50096590434453,0.009140132050709215,FALSE
nb,1,1,-75.88121250666624,-1.0000000826903582e-10,FALSE
nb,6,2,-206.40109782300487,1.7403604070909454e-6,FALSE
nb,9,8,-169.3966366514345,0.21877382403746273,FALSE
nb,6,6,-133.95442015599843,-1.0000000826903701e-10,FALSE
nb,2,2,-150.11971189603366,-1.000000082690371e-10,FALSE
nb,2,2,-189.3888698346767,-1.000000082690371e-10,FALSE
nb,4,9,-150.88799929597778,0.6813655937534528,FALSE
nb,9,4,-144.5226329050431,7.290437004629663e-5,FALSE
nb,6,6,-159.40959589693978,6.506735994298998e-11,FALSE
nb,2,2,-163.02803519879714,1.7416521877697114e-6,FALSE
nb,0,0,-165.83648730356663,-1.000000082690371e-10,FALSE
nb,3,3,-181.97339325566372,-1.0000000811933216e-10,FALSE
nb,8,8,-183.00150469202302,1.5131199262115705e-5,FALSE
nb,3,3,-166.16409423237607,-1.0000000797938536e-10,FALSE
nb,7,7,-86.18505284169812,-1.0000000826897098e-10,FALSE
nb,0,0,-197.4720732216788,-1.000000082690371e-10,FALSE
nb,5,3,-222.03515275919764,7.857231664344444e-5,TRUE
nb,0,0,-198.17245834547566,-1.000000082690371e-10,FALSE
nb,7,7,-95.97213442383463,-1.000000053571532e-10,FALSE
nb,9,9,-113.37889371413549,-7.482742216182799e-11,FALSE
nb,5,4,-207.0902065616748,-9.607845303756825e-11,TRUE
nb,0,0,-199.97753220871945,-1.000000082690371e-10,FALSE
nb,0,0,-226.0202202500995,-1.000000082690371e-10,FALSE
nb,7,7,-125.64989984204885,-1.000000082690371e-10,FALSE
nb,0,0,-152.03988903183472,-1.000000082690371e-10,FALSE
nb,8,2,-268.33606030699667,1.8750224021182238e-7,FALSE
nb,1,1,-23.477605128606427,-1.000000082690371e-10,FALSE
nb,0,0,-115.47946101051372,-1.000000082690371e-10,FALSE
nb,7,7,-117.25252789836784,-1.000000082690371e-10,FALSE
nb,1,1,-57.51882033025163,-1.000000082690371e-10,FALSE
nb,0,0,-163.17027927010716,-1.000000082690371e-10,FALSE
nb,4,9,-136.8975149519055,7.463305035916786e-4,FALSE
nb,2,2,-214.0466348042612,-9.985067382732862e-11,FALSE
nb,0,0,-175.3886104053202,-1.000000082690371e-10,FALSE
nb,8,0,-214.342861244276,0.6003594590237257,FALSE
nb,5,3,-237.6466764071067,5.938433304927324e-7,TRUE
nb,1,6,-157.2205484401024,0.5471032129833505,FALSE
nb,2,0,-212.73214376437133,-9.997850254749318e-11,FALSE
nb,0,0,-140.57820809486176,-1.000000082690371e-10,FALSE
nb,6,6,-130.68967165499794,-9.98753888226429e-11,FALSE
nb,5,6,-132.67757169985845,0.007451393913041554,TRUE
nb,9,9,-92.37516872855569,-9.999539952364564e-11,FALSE
nb,2,2,-194.27275376887317,-1.000000082690371e-10,FALSE
nb,0,0,-170.77528825048333,-1.000000082690371e-10,FALSE
nb,9,9,-100.14226507541207,-9.999844989509013e-11,FALSE
nb,0,0,-185.4449860360935,-1.000000082690371e-10,FALSE
nb,4,4,-166.2062990929244,2.8745137684395683e-6,FALSE
nb,2,2,-166.93969222525658,0.07879695846664705,FALSE
nb,0,0,-197.90005411574154,-1.000000082690371e-10,FALSE
nb,9,9,-115.52745064077835,4.66374632153206e-9,FALSE
nb,1,1,-28.3248046307323,-1.000000082690371e-10,FALSE
nb,2,2,-233.4991567747543,8.607569852305182e-10,FALSE
nb,2,2,-179.09907549670078,-1.000000082690371e-10,FALSE
nb,1,1,-28.255322350809433,-1.000000082690371e-10,FALSE
nb,8,8,-148.4218983228394,1.977110519385651e-9,FALSE
nb,3,3,-132.06166633334763,-1.000000082690371e-10,FALSE
nb,7,7,-114.95518901381091,-1.000000082690371e-10,FALSE
nb,2,2,-159.20293617800488,-1.000000082690371e-10,FALSE
nb,0,0,-193.6754648512861,-9.880265641482153e-11,FALSE
nb,9,9,-150.54851491720314,0.04822866875640901,FALSE
nb,0,8,-191.87686302913156,0.007181266907588504,FALSE
nb,1,1,-56.324072595375675,-1.000000082690371e-10,FALSE
nb,2,2,-203.48728353411744,5.066817972387176e-5,FALSE
nb,1,1,-92.74088799805675,-1.0000000826846787e-10,FALSE
nb,2,2,-174.3970591277588,1.67285763673158e-9,FALSE
nb,0,0,-199.77298661189317,-1.000000082690371e-10,FALSE
nb,7,7,-97.51012083530303,6.6373427269598975e-9,FALSE
nb,2,2,-200.49790452054057,-9.999991647391468e-11,FALSE
nb,0,0,-159.5139948006768,-1.0000000826667307e-10,FALSE
nb,6,6,-189.95532717157133,4.929888933143164e-5,FALSE
nb,7,7,-131.7172332564913,-1.000000082690371e-10,FALSE
nb,8,3,-233.07044770292015,8.173681535005503e-5,FALSE
nb,2,2,-194.62650123662172,-1.0000000826823255e-10,FALSE
nb,0,0,-180.12534102621908,-1.000000082690371e-10,FALSE
nb,9,9,-107.5489692754635,2.611763981733974e-10,FALSE
nb,0,0,-190.61009630322562,-9.978697220118253e-11,FALSE
nb,4,9,-143.4437180688481,0.4088968976162422,FALSE
nb,8,8,-245.57780405694356,-9.226062675790056e-11,FALSE
nb,2,2,-158.82025309890008,1.8685778313483483e-4,FALSE
nb,0,0,-142.4695626337426,-1.000000082690371e-10,FALSE
nb,7,7,-91.37673871377761,-1.0000000826366136e-10,FALSE
nb,0,0,-151.87516868790422,-1.000000082690371e-10,FALSE
nb,0,0,-140.56528848058747,-1.000000082690371e-10,FALSE
nb,9,9,-139.5575035992547,6.061811428281052e-10,FALSE
nb,0,0,-146.0275636848258,-1.000000082690371e-10,FALSE
nb,6,0,-234.61105452278352,0.015405675817190387,FALSE
nb,7,7,-78.75133506109437,-9.999987391442697e-11,FALSE
nb,3,8,-129.07762746243537,0.0014591107072417793,FALSE
nb,0,0,-144.28525059362875,-1.000000082690371e-10,FALSE
nb,7,7,-93.79571838121566,0.003774146801035244,FALSE
nb,2,2,-143.40673719499608,-1.000000082690371e-10,FALSE
nb,8,8,-158.07529753228786,5.8214344144066504e-5,FALSE
nb,9,4,-173.61323689754502,4.532958823690693e-8,FALSE
nb,4,9,-114.4646251246914,1.6580339564538466e-4,FALSE
nb,3,3,-161.34264269338527,-9.91323799704782e-11,FALSE
nb,3,3,-160.1959547040853,-9.998372553986516e-11,FALSE
nb,9,9,-96.98414717152114,-9.999212198452878e-11,FALSE
nb,9,9,-95.75821020012799,-9.999324104399241e-11,FALSE
nb,7,7,-79.85457645810686,3.628768323576172e-9,FALSE
nb,0,0,-129.90472039170112,-1.0000000826903497e-10,FALSE
nb,5,6,-185.491425169607,0.5831055095491998,TRUE
nb,9,9,-120.49628073730834,2.21706126696306e-6,FALSE
nb,9,9,-125.1060953689942,2.7964650683771767e-6,FALSE
nb,6,6,-111.07903640963168,-1.0000000826901929e-10,FALSE
nb,8,8,-187.80764965897257,2.4948914543581193e-6,FALSE
nb,5,3,-262.43545223530555,9.091012920845032e-4,TRUE
nb,3,2,-216.69047956154392,1.0350178419502076e-6,FALSE
nb,0,0,-150.30703532387807,-1.000000082690371e-10,FALSE
nb,6,6,-141.0792737855828,-1.0000000817320261e-10,FALSE
nb,8,8,-169.97208148355003,-9.999945717036284e-11,FALSE
nb,5,6,-148.7998306594334,4.11857378291003e-9,TRUE
nb,6,6,-107.20135553103654,-1.0000000624344475e-10,FALSE
nb,1,1,-41.65712899852889,-1.000000082690371e-10,FALSE
nb,4,9,-116.39607554975605,0.08537742124287705,FALSE
nb,8,8,-217.84838807524366,1.4313830500025385e-8,FALSE
nb,5,4,-163.12610449953445,-1.0000000826903498e-10,TRUE
nb,0,0,-188.22185794235017,-9.99929562172892e-11,FALSE
nb,1,1,-61.583946346569775,-1.000000082690371e-10,FALSE
nb,6,4,-182.6778188893556,0.07709210070494983,FALSE
nb,9,7,-144.96956423154722,3.756845562581618e-8,FALSE
nb,0,0,-199.88988587576642,-1.000000082690371e-10,FALSE
nb,0,0,-148.79235300256383,-1.000000082690371e-10,FALSE
nb,7,7,-142.64244096838783,-1.0000000826715715e-10,FALSE
nb,7,7,-87.39658330108425,-1.0000000826818313e-10,FALSE
nb,9,9,-148.61257230913324,0.10569401712513725,FALSE
nb,6,6,-161.41603866303134,-1.0000000722963203e-10,FALSE
nb,6,6,-127.10985483081389,-1.000000082690371e-10,FALSE
nb,3,0,-208.7861349583856,1.8954878056491234e-4,FALSE
nb,3,3,-221.27710975522902,0.001949837742121778,FALSE
nb,2,0,-215.18893056170882,-1.0000000825758165e-10,FALSE
nb,7,7,-212.65302069598923,-1.000000082690371e-10,FALSE
nb,5,0,-238.67995974040437,5.4203618768143666e-5,TRUE
nb,0,0,-168.12421585199115,-1.000000082690371e-10,FALSE
nb,9,9,-110.84093412063613,4.459620762718789e-4,FALSE
nb,6,6,-100.80691411731787,-1.000000082690371e-10,FALSE
nb,2,2,-171.5987420511405,2.429142229271871e-6,FALSE
nb,2,2,-168.21416992446612,-9.744622929348732e-11,FALSE
nb,4,4,-108.99047263752202,1.7044438973370022e-5,FALSE
nb,8,8,-155.3528827432,0.7023206412985893,FALSE
nb,9,9,-102.71391354546181,9.397732486056809e-12,FALSE
nb,1,1,-58.24579621750245,-1.000000082690371e-10,FALSE
nb,0,8,-153.41909176652132,1.5398559000483138e-9,FALSE
nb,1,1,-43.12735053855186,-1.000000082690371e-10,FALSE
nb,0,0,-226.80578980241285,-9.999986439625939e-11,FALSE
nb,2,3,-270.89512025685923,8.467385143275945e-4,FALSE
nb,9,4,-208.42673299382594,-9.819260092112074e-11,FALSE
nb,0,0,-201.84606790745173,-1.000000082102928e-10,FALSE
nb,6,6,-197.45470775417112,0.042934971516725554,FALSE
nb,0,9,-154.25339227672626,0.1369084637646779,FALSE
nb,2,2,-156.16518162094758,5.998172970358961e-8,FALSE
nb,9,4,-148.88706368682344,0.3809132686525982,FALSE
nb,0,6,-152.75950584798107,0.052458828313289615,FALSE
nb,3,3,-140.5493994227224,-1.0000000258178493e-10,FALSE
nb,3,3,-152.4359185849133,-9.999328721024386e-11,FALSE
nb,4,4,-132.00241743534042,-1.0000000610757043e-10,FALSE
nb,0,0,-136.5743812774736,-1.0000000826878078e-10,FALSE
nb,9,9,-110.00688624033751,3.960022787975144e-8,FALSE
nb,0,8,-162.5864328847889,5.80035737907746e-5,FALSE
nb,4,4,-214.2391233770958,-1.000000082690371e-10,FALSE
nb,0,0,-135.28220232536515,-1.000000082690371e-10,FALSE
nb,8,8,-149.15071837323632,7.047119968354803e-9,FALSE
nb,6,6,-247.41838605529773,1.406165485701208e-4,FALSE
nb,0,0,-159.90774076855624,-9.999974071810771e-11,FALSE
nb,4,4,-120.05888322369222,-5.322428118377174e-11,FALSE
nb,1,1,-22.556158451218497,-1.000000082690371e-10,FALSE
nb,0,6,-166.79948821239734,0.20798923668027577,FALSE
nb,6,4,-149.00147531638117,1.845235695797085e-5,FALSE
nb,0,0,-143.19929679779167,-1.000000082690371e-10,FALSE
nb,4,4,-143.91798345253383,-1.0000000826892487e-10,FALSE
nb,0,6,-134.4275251454532,5.649318693054187e-9,FALSE
nb,6,6,-119.3679675872487,-1.0000000826788213e-10,FALSE
nb,4,4,-121.63094971304155,3.5140634513479335e-5,FALSE
nb,1,1,-26.774004576511928,-1.000000082690371e-10,FALSE
nb,4,4,-138.79146417014965,-3.58459297450166e-11,FALSE
nb,1,1,-32.803722757302225,-1.000000082690371e-10,FALSE
nb,0,8,-154.46755865698242,0.04259500499572487,FALSE
nb,1,1,-24.072932618930743,-1.000000082690371e-10,FALSE
nb,0,0,-123.72149273383792,-1.000000082690371e-10,FALSE
nb,4,4,-236.91492895097187,-9.999967980428363e-11,FALSE
nb,5,6,-144.63058002504036,2.2433277582419628e-8,TRUE
nb,7,7,-102.99446189800902,-9.966270766460798e-11,FALSE
nb,2,2,-166.6841166104387,-1.000000082690371e-10,FALSE
nb,8,3,-157.74987012513415,4.1361952247822437e-4,FALSE
nb,6,2,-214.61567541438896,0.22160505160683275,FALSE
nb,3,3,-166.64015391126745,1.0189079497882813e-7,FALSE
nb,1,1,-100.24606073291362,0.002571979038627139,FALSE
nb,8,8,-117.4050248612773,-1.000000033645421e-10,FALSE
nb,0,0,-135.88249699813966,-9.999513027373556e-11,FALSE
nb,5,0,-186.558052349456,3.76739371548812e-6,TRUE
nb,0,0,-132.32397842071973,-9.997186368262583e-11,FALSE
nb,1,1,-40.28014063805711,-1.000000082690371e-10,FALSE
nb,8,8,-185.8152478095868,-1.0000000804419795e-10,FALSE
nb,0,0,-178.3204090515752,-1.000000082690371e-10,FALSE
nb,0,0,-193.77801189180946,-1.000000082690371e-10,FALSE
nb,1,1,-71.28597611232321,-1.0000000826903709e-10,FALSE
nb,3,3,-146.97060634372994,-9.995979062330484e-11,FALSE
nb,8,8,-135.67475598897252,1.3711013719528878e-7,FALSE
nb,0,8,-154.78436368713167,6.221700603438273e-7,FALSE
nb,2,8,-136.21807277224556,2.0967852412388465e-6,FALSE
nb,0,8,-150.47832485014257,0.005500559368735402,FALSE
nb,6,6,-123.7586186187989,1.6372667306807138e-7,FALSE
nb,8,8,-143.63979795034555,7.349107891785148e-8,FALSE
nb,0,0,-233.0196991433543,6.251174934181612e-11,FALSE
nb,9,9,-106.39247346396685,-9.680631135442819e-11,FALSE
nb,0,0,-149.31738125491052,-1.000000082690371e-10,FALSE
nb,9,9,-122.60169930811327,2.514220785135649e-7,FALSE
nb,8,8,-160.38307629483236,-1.000000079633268e-10,FALSE
nb,0,0,-163.05176273311085,-1.000000082690371e-10,FALSE
nb,3,3,-236.89163162905643,-9.979238635342061e-11,FALSE
nb,2,2,-203.27270536558802,-1.0000000826897724e-10,FALSE
nb,1,1,-53.434671992001064,-1.000000082690371e-10,FALSE
nb,8,8,-187.29089145530668,4.841350686056931e-5,FALSE
nb,0,0,-142.0218990516063,-1.0000000826903709e-10,FALSE
nb,3,3,-133.28800551447733,-9.999999991165476e-11,FALSE
nb,2,2,-157.95170382672706,-9.999990081291797e-11,FALSE
nb,2,2,-159.1302146818419,-9.999999798817195e-11,FALSE
nb,4,4,-119.66706338010121,0.21664832968526762,FALSE
nb,1,6,-139.1592398806517,2.995416134237399e-4,FALSE
nb,2,2,-152.176218680695,2.783910774250594e-5,FALSE
nb,9,1,-106.59579687734217,8.581193242034517e-7,FALSE
nb,6,6,-150.864156276419,1.9684376775846552e-9,FALSE
nb,4,4,-124.636933946155,8.88396348401192e-6,FALSE
nb,1,1,-35.97131791345391,-1.000000082690371e-10,FALSE
nb,5,8,-207.43702734481323,0.0014692558641898675,TRUE
nb,2,2,-154.4550243493865,-1.0000000826902609e-10,FALSE
nb,5,3,-204.87338809520705,-9.842412915547282e-11,TRUE
nb,5,3,-173.76425686332325,-1.0000000805464424e-10,TRUE
nb,1,1,-55.21543896530471,-1.000000082690371e-10,FALSE
nb,6,6,-224.52214687769631,0.002752163476918885,FALSE
nb,4,4,-130.71601821145526,-1.0000000826898557e-10,FALSE
nb,5,8,-210.01866328635654,-1.0000000683668606e-10,TRUE
nb,5,8,-145.21082548201773,4.925471307636115e-4,TRUE
nb,1,1,-52.9880849035595,-1.000000082690371e-10,FALSE
nb,0,8,-185.14371698566515,0.06554048863478298,FALSE
nb,1,1,-56.924435112539,-1.000000082690371e-10,FALSE
nb,8,8,-223.28996664409212,8.592979352796861e-4,FALSE
nb,4,4,-130.07420345714345,-9.993564612029127e-11,FALSE
nb,9,8,-156.7548830441725,0.10042482388559368,FALSE
nb,8,3,-230.74077268050686,2.5802670406309135e-8,FALSE
nb,4,4,-122.64850499996487,-9.999997335250981e-11,FALSE
nb,6,6,-174.75389204632975,6.0461864042976465e-9,FALSE
nb,0,0,-177.84945045024847,-1.0000000826901317e-10,FALSE
nb,4,4,-114.42781863722031,2.3656563269879557e-9,FALSE
nb,8,8,-150.57449442674965,2.9451110797611135e-7,FALSE
nb,4,4,-109.6267880756451,1.7542251325097462e-8,FALSE
nb,7,9,-80.19951329604214,0.655461676647746,FALSE
nb,7,7,-77.5670994715202,3.6141677930410175e-9,FALSE
nb,0,0,-127.92649398691262,-1.000000082690371e-10,FALSE
nb,8,0,-183.72063264605296,0.007162716868208775,FALSE
nb,4,9,-135.01915223427972,0.06532046659863856,FALSE
nb,0,8,-156.07404234218728,0.2274541752605849,FALSE
nb,9,4,-165.76038964828345,0.07519852818985955,FALSE
nb,2,3,-269.3119835432791,1.4861745116339267e-6,FALSE
nb,8,0,-199.15720734169994,0.0025355625403691694,FALSE
nb,4,4,-214.5061607931934,0.0416647809173851,FALSE
nb,6,6,-147.09644060644382,-1.0000000826903705e-10,FALSE
nb,0,0,-181.39464876934045,-1.000000082690371e-10,FALSE
nb,1,1,-29.967721129554253,-1.000000082690371e-10,FALSE
nb,2,2,-147.45448524893314,-9.999999934472062e-11,FALSE
