Model,Size,Repeat,Accuracy,Time,LogSize
NB,32,1,0.6387643248629796,0.2899999999208376,1.505149978319906
TAN,32,1,0.4798206278026906,0.840000000083819,1.505149978319906
Logistic,32,1,0.28350772296960636,0.23999999999068677,1.505149978319906
Logistic TAN,32,1,0.2730443447932237,0.6099999999860302,1.505149978319906
NB,32,2,0.6407573492775287,0.30000000004656613,1.505149978319906
TAN,32,2,0.5276532137518685,0.8399999999674037,1.505149978319906
Logistic,32,2,0.293971101145989,0.21000000007916242,1.505149978319906
Logistic TAN,32,2,0.37120079720976584,0.6099999999860302,1.505149978319906
NB,32,3,0.6317887394120578,0.2899999999208376,1.505149978319906
TAN,32,3,0.5346287992027903,0.9399999999441206,1.505149978319906
Logistic,32,3,0.3368211260587942,0.21000000007916242,1.505149978319906
Logistic TAN,32,3,0.30144494270054806,0.6099999999860302,1.505149978319906
NB,32,4,0.6651718983557549,0.2999999999301508,1.505149978319906
TAN,32,4,0.5291479820627802,0.7200000000884756,1.505149978319906
Logistic,32,4,0.3064275037369208,0.18999999994412065,1.505149978319906
Logistic TAN,32,4,0.3213751868460389,0.6099999999860302,1.505149978319906
NB,32,5,0.6576980568011959,0.2900000000372529,1.505149978319906
TAN,32,5,0.4623816641753862,0.809999999939464,1.505149978319906
Logistic,32,5,0.3507722969606378,0.21000000007916242,1.505149978319906
Logistic TAN,32,5,0.30692575984055803,0.6099999999860302,1.505149978319906
NB,32,6,0.6238166417538615,0.2899999999208376,1.505149978319906
TAN,32,6,0.5181863477827603,0.8699999999953434,1.505149978319906
Logistic,32,6,0.32635774788241156,0.19999999995343387,1.505149978319906
Logistic TAN,32,6,0.3373193821624315,0.6099999999860302,1.505149978319906
NB,32,7,0.6576980568011959,0.30000000004656613,1.505149978319906
TAN,32,7,0.489785749875436,0.9399999999441206,1.505149978319906
Logistic,32,7,0.34678624813153963,0.19000000006053597,1.505149978319906
Logistic TAN,32,7,0.36123567513702043,0.6099999999860302,1.505149978319906
NB,32,8,0.6776283009466866,0.2999999999301508,1.505149978319906
TAN,32,8,0.5221723966118585,0.8499999999767169,1.505149978319906
Logistic,32,8,0.32037867463876435,0.19999999995343387,1.505149978319906
Logistic TAN,32,8,0.32536123567513703,0.6099999999860302,1.505149978319906
NB,32,9,0.6761335326357748,0.30000000004656613,1.505149978319906
TAN,32,9,0.5251619332336821,0.8200000000651926,1.505149978319906
Logistic,32,9,0.3059292476332835,0.2099999999627471,1.505149978319906
Logistic TAN,32,9,0.31689088191330345,0.5999999999767169,1.505149978319906
NB,32,10,0.6741405082212257,0.30000000004656613,1.505149978319906
TAN,32,10,0.5749875435974091,0.809999999939464,1.505149978319906
Logistic,32,10,0.2979571499750872,0.21000000007916242,1.505149978319906
Logistic TAN,32,10,0.330842052815147,0.6099999999860302,1.505149978319906
NB,32,11,0.6053811659192825,0.27999999991152436,1.505149978319906
TAN,32,11,0.46387643248629795,0.8600000001024455,1.505149978319906
